Name,Charity Number,Local authority,Postcode,Latitude,Longitude,IntermediateZone2011Code,DataZone2011Code
4th & 4th A City Of Edinburgh Brownie Packs,SC030741,City of Edinburgh,EH4 5NE,55.97050314,-3.26514946,S02001671,S01008934
103rd D City of Edinburgh Rainbow Unit,SC030855,City of Edinburgh,EH12 8GR,55.94683885,-3.30782071,S02001677,S01008961
191st City of Edinburgh Guide Unit,SC036470,City of Edinburgh,EH12 8GN,55.94734033,-3.30798173,S02001677,S01008961
1st Currie Brownie Pack,SC030899,City of Edinburgh,EH14 5LL,55.89853801,-3.30640264,S02001578,S01008429
2nd Currie Brownie Pack,SC031545,City of Edinburgh,EH14 5LL,55.89853801,-3.30640264,S02001578,S01008429
65th Edinburgh Boys Brigade,SC034640,City of Edinburgh,EH14 5LH,55.89858391,-3.30800349,S02001578,S01008429
3rd Currie Guide Unit,SC037020,City of Edinburgh,EH14 5LL,55.89853801,-3.30640264,S02001578,S01008429
Girlguiding Currie District,SC045326,City of Edinburgh,EH14 5LL,55.89853801,-3.30640264,S02001578,S01008429
217th A Brownie Pack,SC030921,City of Edinburgh,EH4 2AR,55.96247842,-3.25642934,S02001664,S01008898
103rd City of Edinburgh Rainbow Unit,SC030958,City of Edinburgh,EH12 8YB,55.95412865,-3.30843491,S02001676,S01008956
239th City Of Edinburgh Rainbow Unit,SC031313,City of Edinburgh,EH4 8BP,55.95751628,-3.30504141,S02001676,S01008956
6th South Queensferry Brownie Pack,SC030996,City of Edinburgh,EH30 9JQ,55.98568558,-3.39134568,S02001685,S01009007
3rd South Queensferry Guides,SC036232,City of Edinburgh,EH30 9JQ,55.98568558,-3.39134568,S02001685,S01009007
Capital City Partnership Limited,SC031026,City of Edinburgh,EH6 8NR,55.96759534,-3.174005,S02001644,S01008796
93rd C Edinburgh Brownie Guide Unit,SC031069,City of Edinburgh,EH17 8UN,55.89656993,-3.14873417,S02001600,S01008548
Liberton United Football Club,SC041404,City of Edinburgh,EH17 8UN,55.89656993,-3.14873417,S02001600,S01008548
Gregarious Chinwag SCIO,SC049983,City of Edinburgh,EH17 8TW,55.90170332,-3.13780205,S02001600,S01008548
148th City Of Edinburgh Guide Company,SC031123,City of Edinburgh,EH9 2EA,55.93062243,-3.19062114,S02001612,S01008608
215th City Of Edinburgh Rainbow Unit,SC031156,City of Edinburgh,EH12 9AQ,55.93257543,-3.28593853,S02001681,S01008985
4th Currie Brownies,SC031158,City of Edinburgh,EH14 5SA,55.89310532,-3.32205101,S02001577,S01008428
1st Currie Guide Unit,SC032850,City of Edinburgh,EH14 5SF,55.89396842,-3.3236795,S02001577,S01008428
239th City Of Edinburgh Brownie Pack,SC031159,City of Edinburgh,EH3 9BW,55.94502084,-3.20227142,S02001620,S01008662
224th City Of Edinburgh Guide Company,SC031162,City of Edinburgh,EH12 5UH,55.94038027,-3.25492915,S02001661,S01008879
Clermiston District Guide Association,SC047625,City of Edinburgh,EH12 5UH,55.94038027,-3.25492915,S02001661,S01008879
239th City Of Edinburgh Guide Company,SC031163,City of Edinburgh,EH4 6DX,55.96536062,-3.31855459,S02001684,S01009002
Queensferry Harbour Trust,SC033687,City of Edinburgh,EH30 9TT,55.98272994,-3.3752756,S02001684,S01009002
103rd D City of Edinburgh Brownie Unit,SC044788,City of Edinburgh,EH4 6AU,55.96394975,-3.31267528,S02001684,S01009002
1st Kirkliston Brownie Unit,SC045229,City of Edinburgh,EH29 9EY,55.96017924,-3.4115269,S02001684,S01009002
St Margaret's RC Primary School Parent Council,SC046403,City of Edinburgh,EH29 9FH,55.95971585,-3.41040475,S02001684,S01009002
The Hellenic Community of Edinburgh,SC048115,City of Edinburgh,EH30 9AH,55.98221705,-3.3801619,S02001684,S01009002
107th Pentland Scout Group,SC031234,City of Edinburgh,EH14 1JF,55.91431448,-3.25391079,S02001581,S01008446
Colinton Lawn Tennis Club,SC050790,City of Edinburgh,EH13 0BD,55.9061306,-3.25283084,S02001581,S01008446
88th Craigalmond Scout Group,SC031236,City of Edinburgh,EH12 8EF,55.94553256,-3.29794501,S02001677,S01008962
2nd South Queensferry Rainbows Unit,SC031246,City of Edinburgh,EH30 9PJ,55.98163689,-3.38701707,S02001685,S01009005
224th City Of Edinburgh Brownie Pack,SC031270,City of Edinburgh,EH12 7DW,55.94122705,-3.29722459,S02001682,S01008988
Friends Of The Gyle Park,SC036079,City of Edinburgh,EH12 7UG,55.93937789,-3.29789922,S02001682,S01008988
East Craigs Playgroup,SC042321,City of Edinburgh,EH12 8LJ,55.94120741,-3.30249145,S02001682,S01008988
18th City of Edinburgh Brownie Unit,SC048341,City of Edinburgh,EH12 7RZ,55.93765583,-3.29844997,S02001682,S01008988
193rd B City Of Edinburgh Guides,SC031322,City of Edinburgh,EH11 1JP,55.9390745,-3.21670392,S02001617,S01008644
95th B City of Edinburgh Rainbow Unit,SC031354,City of Edinburgh,EH12 7RH,55.93696863,-3.29629779,S02001682,S01008987
Gylemuir Community Playgroup,SC038445,City of Edinburgh,EH12 7RT,55.93791274,-3.29538478,S02001682,S01008987
Edinburgh City Youth Football Club,SC042965,City of Edinburgh,EH12 7QS,55.93497777,-3.29078854,S02001682,S01008987
75th Blackford Scout Group,SC031395,City of Edinburgh,EH9 2NH,55.93139901,-3.17713559,S02001609,S01008591
Braidwood Bikepark Group,SC044576,City of Edinburgh,EH9 3AH,55.92803248,-3.17493685,S02001609,S01008591
103rd Braid Scout Group,SC031405,City of Edinburgh,EH10 6AL,55.92294226,-3.20973313,S02001615,S01008626
103rd A City of Edinburgh Brownie Unit,SC031410,City of Edinburgh,EH3 6TQ,55.95734979,-3.20861203,S02001658,S01008860
Stockbridge After School Club,SC043519,City of Edinburgh,EH4 1LW,55.95837624,-3.21114277,S02001658,S01008860
31st Pentland (Juniper Green)Scout Group,SC031424,City of Edinburgh,EH14 5DR,55.90447022,-3.28575993,S02001579,S01008436
74th A Edinburgh Brownie Unit,SC031574,City of Edinburgh,EH14 5BQ,55.90720194,-3.27625238,S02001579,S01008436
Playback Trust,SC031679,City of Edinburgh,EH14 5DQ,55.90487005,-3.28102246,S02001579,S01008436
172nd Pentland Scout Group,SC035852,City of Edinburgh,EH14 5BR,55.90568209,-3.28415245,S02001579,S01008436
