name,coordinates,postcode,Latitude,Longitude
Dunadd Community Enterprise,"(56.13897087, -5.48381903)",PA31 8RQ,56.13897087,-5.48381903
Dunblane Development Trust,"(56.19094835, -3.96423279)",FK15 0AT,56.19094835,-3.96423279
Dunlop & District Community Company,"(55.7135053, -4.53101587)",KA3 4AU,55.7135053,-4.53101587
East Loch Lomond Community Trust (SCIO),"(56.08376645, -4.53771879)",G63 0JQ,56.08376645,-4.53771879
East Nairnshire Community Organisation (SCIO),"(57.47086552, -3.74487374)",IV12 5UP,57.47086552,-3.74487374
Eday Partnership,"(59.21345383, -2.75653711)",KW17 2AB,59.21345383,-2.75653711
Edinburgh Old Town Development Trust,"(55.95092104, -3.18405372)",EH8 8BE,55.95092104,-3.18405372
Eilean Eisdeal Trust,"(56.29159883, -5.65571104)",PA34 4TB,56.29159883,-5.65571104
Ekopia Social Investments Ltd,"(57.65406757, -3.59476859)",IV36 3SH,57.65406757,-3.59476859
Ettrick and Yarrow Community Development Company,"(55.540993, -2.881030)",TD7 5LX,55.540993,-2.88103
Evanton Community Trust,"(57.62478355, -4.39346952)",IV15 9TT,57.62478355,-4.39346952
Eyemouth & District Community Trust,"(55.87103464, -2.08969092)",TD14 5DH,55.87103464,-2.08969092
Falkland Community Development Trust,"(56.25264168, -3.2067988)",KY15 7BX,56.25264168,-3.2067988
Falkland Gardening Group,"(56.25264168, -3.2067988)",KY15 7BX,56.25264168,-3.2067988
Fauldhouse and Breich Valley Community Development Trust Ltd,"(55.82750243, -3.70841558)",EH47 9HX,55.82750243,-3.70841558
Ferguslie Park Housing Association Limited,"(55.850019, -4.45337003)",PA3 1NT,55.850019,-4.45337003
Fetterangus Community Association,"(57.54712528, -2.02590242)",AB42 4HD,57.54712528,-2.02590242
Finderne Development Trust,"(57.53398983, -3.66091171)",IV36 2QN,57.53398983,-3.66091171
Fintry Development Trust,"(56.05476536, -4.22473613)",G63 0YA,56.05476536,-4.22473613
Fittie Community Development Trust,"(57.14261533, -2.07168567)",AB11 5DR,57.14261533,-2.07168567
Fochabers Village Association,"(57.61367725, -3.09597088)",IV32 7DU,57.61367725,-3.09597088
Forgan Arts Centre,"(56.21600744, -3.11213983)",KY7 6LA,56.21600744,-3.11213983
Forres Area Community Trust,"(57.61076239, -3.61202015)",IV36 1PB,57.61076239,-3.61202015
Forward Coupar Angus,"(56.54341972, -3.26630772)",PH13 9DG,56.54341972,-3.26630772
Fraserburgh Development Trust Ltd,"(57.69406964, -2.00785833)",AB43 9HP,57.69406964,-2.00785833
Fuse Youth Cafe,"(55.85110191, -4.15677985)",G32 9AS,55.85110191,-4.15677985
Future Hawick,"(55.42002201, -2.78953543)",TD9 0AL,55.42002201,-2.78953543
Gairloch & Loch Ewe Action Forum,"(57.72417875, -5.68859968)",IV21 2BH,57.72417875,-5.68859968
Galston Community Development Trust,"(55.60096023, -4.38222917)",KA4 8AL,55.60096023,-4.38222917
Garbh Allt Community Initiative,"(58.11694954, -3.66432256)",KW8 6HH,58.11694954,-3.66432256
Gargunnock Community Trust Ltd,"(56.12189189, -4.07120224)",FK8 3BA,56.12189189,-4.07120224
Getting Better Together Ltd,"(55.81930298, -3.7926377)",ML7 5ET,55.81930298,-3.7926377
Glasgow Eco Trust,"(55.87853986, -4.35341835)",G14 0BL,55.87853986,-4.35341835
Glen Urquhart Rural Community Association,"(57.33274862, -4.4721859)",IV63 6TP,57.33274862,-4.4721859
Glenbarr Community Development Association,"(55.42453174, -5.60642038)",PA28 6GE,55.42453174,-5.60642038
