Charity Name,Charity Number,Postcode,Latitude,Longitude,Main Operating Location
3rd Vale Of Leven Guide Unit,SC038661,G83 9NE,55.9781106,-4.55567053,West Dunbartonshire
1st Newburgh Brownie Unit,SC038662,AB41 9UF,57.3690743,-2.09665177,Aberdeenshire
Tea In The Pot,SC038663,G51 3UU,55.86362946,-4.31265681,Glasgow City
1st Tinto Brownie Unit,SC038668,ML12 6NE,55.64063425,-3.62932668,Scottish Borders
Alloway Rangers,SC038670,KA7 4QU,55.42913537,-4.62739701,South Ayrshire
Airidhantuim Young At Heart Club,SC038673,HS2 0RH,58.40206482,-6.46807503,Western Isles
The Big Bad Wolf Children's Theatre Company,SC038677,FK5 4XG,56.03769676,-3.82106833,Falkirk
The Bullwood Project,SC038678,G53 7NW,55.82891231,-4.36686604,Glasgow City
Kirkmichael and Tomintoul Community Association,SC038679,AB37 9ET,57.25143118,-3.3799207,Moray
Haldane Youth Services,SC038681,G82 4QW,55.96401483,-4.57821678,West Dunbartonshire
Gateside And District Community Association,SC038682,KY14 7SY,56.26909019,-3.31724756,Fife
The Marion B Anderson Trust,SC038685,EH6 5JH,55.97122769,-3.18129325,City of Edinburgh
Save Gillies Hill,SC038687,FK7 9LE,56.11013769,-3.96845983,Stirling
West of Scotland Development Education Centre,SC038691,G3 8DS,55.86153786,-4.27492895,Glasgow City
Carers Of West Dunbartonshire Limited,SC038695,G81 1UG,55.90186875,-4.40885701,West Dunbartonshire
Royal Air Forces Association Angus (202) Branch,SC038697,DD8 1NG,56.63754452,-2.89093063,Angus
New Deer Football Club,SC038702,AB53 6SW,57.51448538,-2.19628793,Aberdeenshire
1st Oban Brownie Unit,SC038706,PA34 4PG,56.40662423,-5.48823732,Argyll & Bute
1st Wigtown Brownie Unit,SC038707,DG8 9EH,54.86790146,-4.44238211,Dumfries & Galloway
2nd Innerleithen Brownie Unit,SC038710,EH43 6AR,55.62352403,-3.01068805,Scottish Borders
1st Connel Rainbow Unit,SC038711,PA37 1PE,56.45212646,-5.3804401,Argyll & Bute
1st Glenurquhart Brownie Unit,SC038713,IV63 6UA,57.33938981,-4.50306185,Highland
2nd Dyce Rainbow Unit,SC038714,AB10 1UX,57.14522431,-2.11467336,Aberdeen
4th Inverurie Rainbow Unit,SC038716,AB51 3YA,57.28081124,-2.37694177,Aberdeenshire
Minnigaff Community Nursery,SC038717,DG8 6PE,54.96128476,-4.475011,Dumfries & Galloway
2nd Prestwick (Kingcase) Company The Boys Brigade,SC038720,KA7 4PW,55.43222341,-4.64260451,South Ayrshire
Lochaber Care & Repair,SC038727,PH33 6DG,56.81699969,-5.11330286,Highland
BCCF Environmental,SC038733,KY15 5UF,56.32699529,-2.92090701,Scottish Borders
West Whitlawburn Housing Co-Operative Ltd,SC038737,G72 8PG,55.80807737,-4.18288522,South Lanarkshire
The Healthy Heart Garden,SC038738,PA1 3RB,55.8483347,-4.4135788,Renfrewshire
Darnick Village Development Trust,SC038740,TD6 9AX,55.60022828,-2.74239807,Scottish Borders
The Glendale Trust,SC038741,IV55 8ZA,57.40284494,-6.54492598,Highland
Lethnot Hall Community Group,SC038744,DD9 7UG,56.80561516,-2.74626653,Angus
4th Renfrew Brownie Unit,SC038748,PA7 5GT,55.90693793,-4.52104707,Renfrewshire
7th Inverness (Crown) Guide Unit,SC038751,IV2 6GU,57.45063546,-4.17925298,Highland
2nd Rutherglen Rainbow Unit,SC038754,FK8 3SZ,56.17962177,-4.38801307,Perth & Kinross
3rd Stranraer Rainbow Unit,SC038755,DG9 0JT,54.9313419,-5.09171293,Dumfries & Galloway
13th Hamilton Rainbow Unit,SC038756,ML3 9DW,55.76627627,-4.09043075,South Lanarkshire
1st Kinloss Guide Unit,SC038757,IV36 1HX,57.60481244,-3.63321256,Moray
Foundation Christian Fellowship,SC038759,AB42 3GG,57.50404225,-1.82378894,Aberdeenshire
1st East Linton Rainbow Unit,SC038762,EH40 3EL,55.98587036,-2.66293309,East Lothian
1st East Linton Brownie Unit,SC038763,EH41 4HA,55.94782158,-2.80157408,East Lothian
3rd Airdrie Brownie Unit,SC038764,G68 9FA,55.9530353,-4.0363526,North Lanarkshire
Greenferry Trust,SC038774,EH30 9RZ,55.98952303,-3.41184278,City of Edinburgh
Garioch Church,SC038781,AB41 7GF,57.33948256,-2.18664718,Aberdeenshire
Rannes Hall Management Committee,SC038785,AB54 4NH,57.35044664,-2.74389636,Aberdeenshire
New Stevenson Methodist Church,SC038786,ML4 3EP,55.82380936,-4.0261773,North Lanarkshire
Grampian Muslim Community Centre (GMCC),SC038794,AB15 9FE,57.1170427,-2.20699219,Aberdeen
Relationships Scotland (Dumfries and Galloway),SC038795,DG1 1EF,55.07119878,-3.61568419,Dumfries & Galloway
Glasgow Mandarin Congregation Of Jehovah's Witnesses,SC038798,ML1 2BA,55.77854094,-3.97096585,Glasgow City
Tealing Hall SCIO,SC038801,DD3 0QA,56.5095611,-2.97384863,Angus
Drumsagard Trust,SC038812,G72 7PA,55.80713931,-4.12823958,South Lanarkshire
Aberfeldy Drama Club,SC038815,PH16 5JS,56.69366749,-3.70291541,Perth & Kinross
Stenness Parent & Toddler Group,SC038816,KW16 3EX,58.98091134,-3.28396831,Orkney Islands
1st Moffat Brownie Unit,SC038817,DG10 9AH,55.33454115,-3.44246468,Dumfries & Galloway
West Division Senior Section,SC038818,KY11 8BD,56.0575011,-3.43043368,Fife
Inverclyde Advice & Employment Rights Centre,SC038819,PA15 1JZ,55.95049514,-4.76032389,Inverclyde
1st Hatton Brownie Unit,SC038821,AB42 1GP,57.50801032,-1.81594266,Aberdeenshire
Innerleithen Community Trust,SC038822,EH44 6JX,55.61702113,-3.05724884,Scottish Borders
Care in Strathnairn,SC038826,IV2 6UB,57.31857037,-4.24350763,Highland
Hebridean Men's Cancer Support Group,SC038829,HS2 0AD,58.20812706,-6.35265812,Western Isles
East Renfrew Community Rugby Trust,SC038831,G77 6PX,55.75106591,-4.38930268,East Renfrewshire
2nd Stonehaven Rainbow Unit,SC038832,AB39 2BZ,56.96805155,-2.2254893,Aberdeenshire
Stranraer Happy Hooves RDA Group (SCIO),SC038834,DG9 9ND,54.74425995,-4.95890251,Dumfries & Galloway
23rd Greenock Brownie Unit,SC038835,PA13 4TD,55.86826439,-4.64632472,Inverclyde
Friends Of Stromness Town Hall,SC038841,KW16 3DS,58.95644206,-3.30320806,Orkney Islands
1st Kilmallie Rainbow Unit,SC038845,PH33 7RB,56.83700702,-5.09277685,Highland
1st Alloway Rainbow Unit,SC038846,KA7 4HZ,55.43513191,-4.64860112,South Ayrshire
1st Inverbervie Rainbow Unit,SC038848,DD10 0PD,56.84394547,-2.28701679,Aberdeenshire
Killin and Ardeonaig Community Development Trust Limited,SC038852,FK21 8XE,56.46329516,-4.32070145,Stirling
1st East Calder Brownie Unit,SC038853,EH53 0JQ,55.89233132,-3.46200782,West Lothian
2nd Dunoon Guide Unit,SC038855,PA23 8JY,55.97085945,-4.91385544,Argyll & Bute
2nd Blackwood Brownie Unit,SC038861,ML11 0JS,55.62313695,-3.8922255,South Lanarkshire
Fife Decorative & Fine Arts Society,SC038862,KY15 4PY,56.36485617,-3.00976473,Fife
Kincardine and Mearns Citizens Advice Bureau,SC038869,AB39 2JD,56.96155605,-2.2103708,Aberdeenshire
1st Fyvie Guide Unit,SC038875,AB52 6UP,57.40251864,-2.56252731,Aberdeenshire
4th Kilbirnie Brownie Unit,SC038878,KA25 7HB,55.76401421,-4.68779981,North Ayrshire
242nd City of Glasgow Rainbow Unit,SC038879,G2 1BP,55.86210745,-4.25325977,Glasgow City
1st East Kilbride Scout Group,SC038881,G75 8TR,55.75541599,-4.21624653,South Lanarkshire
St Fillans Community Trust Limited,SC038882,PH6 2NA,56.3923099,-4.11093066,Perth & Kinross
Rothes Tennis Club,SC038883,AB38 7BD,57.52892365,-3.2023102,Moray
Stronsay Development Trust,SC038888,KW17 2AR,59.14049939,-2.60137311,Orkney Islands
3rd Barrhead Guide Unit,SC038895,PA2 7RP,55.82767478,-4.4161627,Glasgow City
17th Hamilton Rainbow Unit,SC038896,ML3 0PT,55.79010277,-4.06589859,South Lanarkshire
17th Hamilton Guide Unit,SC038897,ML3 0PT,55.79010277,-4.06589859,South Lanarkshire
Hamilton District 3 Senior Section Unit,SC038898,G72 0GS,55.77280235,-4.10141482,South Lanarkshire
17th Hamilton Brownie Unit,SC038899,ML3 0PT,55.79010277,-4.06589859,South Lanarkshire
11th Hamilton Guide Unit,SC038900,G72 0GS,55.77280235,-4.10141482,South Lanarkshire
1st Kirkwall Guide Unit,SC038901,KW15 1RF,58.9874103,-2.9756129,Orkney Islands
Auchterarder And District Community Trust,SC038904,PH3 1GW,56.32248157,-3.64812165,Perth & Kinross
19th Livingston Brownie Unit,SC038907,EH54 9HG,55.863456,-3.51357397,West Lothian
Kilfinan Community Forest Company,SC038908,PA21 2BD,55.90573712,-5.23839013,Argyll & Bute
The Island Of Hoy Development Trust,SC038909,KW16 3PG,58.79906753,-3.2002814,Orkney Islands
2nd Dunoon Brownie Unit,SC038912,PA23 7LH,55.94373591,-4.9363242,Argyll & Bute
1st Netherlee Guide Unit,SC038917,G44 3TH,55.80279127,-4.27563305,Glasgow City
Co-Chomunn Na Pairc,SC038920,HS2 9QA,58.08892704,-6.51736525,Western Isles
Firth Rainbow Unit,SC038921,KW16 3JE,59.04880402,-3.29818028,Orkney Islands
Stromness Shopping Week Association,SC038922,KW17 2JR,59.03287615,-3.17728612,Orkney Islands
2nd Westwood Rainbow Unit,SC038923,G75 0QT,55.74356228,-4.17802154,Stirling
4th Kirkwall Brownie Unit,SC038931,KW15 1XS,58.97066039,-2.94539981,Orkney Islands
1st Kirkinner Brownie Unit,SC038939,DG8 9BY,54.85053907,-4.477632,Dumfries & Galloway
Girlguiding Scottish Borders Central District,SC038941,TD6 9RH,55.59361039,-2.72665915,Scottish Borders
1st Machar Brownie Unit,SC038942,AB10 1UX,57.14522431,-2.11467336,Aberdeen
1st Fyvie Brownie Unit,SC038944,AB51 8YX,57.42097661,-2.52548172,Aberdeenshire
1st Muckhart Brownie Unit,SC038946,FK10 3SA,56.12115138,-3.7817049,Clackmannanshire
VIP Childcare Moray,SC038949,IV30 1UE,57.65109168,-3.31806379,Moray
2nd Prestwick Brownie Unit,SC038955,KA7 2SS,55.44964214,-4.63059527,South Ayrshire
1st Bishopbriggs Brownie Unit,SC038959,G64 4JA,55.94100953,-4.21751878,Glasgow City
1st Blackwood Guide Unit,SC038960,G44 4AX,55.82213904,-4.26261809,South Lanarkshire
1st Burray Brownie Unit,SC038963,KW17 2SZ,58.85565618,-2.9029491,Orkney Islands
4th Selkirk Brownie Unit,SC038964,TD7 4LB,55.5483846,-2.84197047,Scottish Borders
Duns Senior Section Guide Unit,SC038965,TD11 3AF,55.77660937,-2.34812648,Scottish Borders
Forget Me Not Fund (Beaston),SC038967,G66 1QF,55.94620801,-4.14111769,East Dunbartonshire
St Crispin's Out of School Care Association Limited,SC038968,EH16 5PQ,55.93115092,-3.16922098,City of Edinburgh
Hillswick And Eshaness Area Regeneration And Development Association,SC038969,ZE2 9RS,60.50013709,-1.57545767,Shetland Islands
55th A City Of Aberdeen Brownie Unit,SC038970,AB10 1UX,57.14522431,-2.11467336,Aberdeen
Mearns And Coastal Healthy Living Network,SC038980,AB30 1AB,56.8340495,-2.46467166,Aberdeenshire
1st Kelloholm Rainbow Unit,SC038982,DG4 6NE,55.38781116,-4.00643496,Dumfries & Galloway
13th Hamilton Guide Unit,SC038983,ML3 7YG,55.75517562,-4.03810632,South Lanarkshire
2nd Cults Brownie Unit,SC038984,AB10 1UX,57.14522431,-2.11467336,Aberdeen
2nd East Calder Rainbow Unit,SC038985,EH53 0RQ,55.88902118,-3.45774202,West Lothian
Terrifically Adventurous Youth Theatre Association,SC038994,KY11 4SS,56.06830104,-3.4466886,Fife
Dalgety Bay Gala Committee,SC038998,KY11 9GF,56.03477901,-3.36680666,Fife
1st Tobermory Guide Unit,SC038999,PA75 6PY,56.61929402,-6.08184911,Argyll & Bute
2nd Stranraer Brownie Unit,SC039000,DG9 7SZ,54.89216432,-5.02987305,Dumfries & Galloway
5th Kilwinning Brownie Unit,SC039002,KA13 7JN,55.65612191,-4.68742451,North Ayrshire
Tranent Colts Football Club,SC039004,EH33 2QN,55.93658332,-2.95732323,East Lothian
1st Calside Brownie Unit,SC039012,DG1 4AZ,55.06737797,-3.52090952,Dumfries & Galloway
39th Greenock Brownie Unit,SC039017,PA13 4TD,55.86826439,-4.64632472,Inverclyde
1st Kaimhill Rainbow Unit,SC039018,AB10 1UX,57.14522431,-2.11467336,Aberdeen
Aberdeen Women's Alliance,SC039022,AB24 4DL,57.17014189,-2.12536715,Aberdeen
Murrayfield Wanderers Rugby Trust Foundation,SC039024,EH4 6DH,55.96641772,-3.31464935,City of Edinburgh
1st Blackwood Rainbow Unit,SC039025,ML10 6DS,55.67606659,-4.07427518,South Lanarkshire
2nd Kelvinside Rainbow Unit,SC039026,G2 1BP,55.86210745,-4.25325977,Glasgow City
2nd Mauchline Rainbow Unit,SC039027,KA5 6AR,55.51678762,-4.37244967,East Ayrshire
1st Pleasance Brownie Unit,SC039028,DD2 1QL,56.46002441,-3.02471971,Dundee City
1st Beauly Brownie Unit,SC039034,IV2 3SB,57.46972607,-4.19703317,Highland
Feis Gleann Albainn,SC039035,PH32 4BN,57.15332333,-4.67931398,Highland
Braehead United Free Church,SC039036,G69 7BT,55.84763589,-4.12459033,Glasgow City
1st Hatton Rainbow Unit,SC039037,AB42 1GP,57.50801032,-1.81594266,Aberdeenshire
2nd Balloch Brownie Unit,SC039038,G83 9JP,55.97516377,-4.56943748,West Dunbartonshire
2nd Newmachar Rainbow Unit,SC039043,AB21 7PR,57.25696526,-2.18133938,Aberdeenshire
3rd Dalkeith Guide Unit,SC039045,EH10 7JB,55.90112986,-3.19083688,Midlothian
18th Kirkcaldy Guide Unit,SC039051,KY3 0AZ,56.06262067,-3.2458729,Fife
174th A City of Edinburgh Brownie Guide Pack,SC039059,EH4 4DX,55.97102032,-3.24968823,City of Edinburgh
14th Motherwell Guide Unit,SC039063,ML8 4AX,55.7267289,-3.81910979,North Lanarkshire
33rd City Of Aberdeen Brownie Unit,SC039068,AB10 1UX,57.14522431,-2.11467336,Aberdeen
6th Fraserburgh Rainbow Unit,SC039075,AB42 5TD,57.52036844,-2.01419696,Aberdeenshire
1st Polmont Brownies,SC039077,FK1 5BF,55.98821044,-3.80323806,Stirling
1st Stuartfield Guide Unit,SC039078,AB42 3NR,57.51702702,-1.82098875,Aberdeenshire
1st Penicuik Senior Section Unit,SC039087,EH26 9EG,55.82659189,-3.22674227,Midlothian
9th Penicuik Brownie Unit,SC039090,EH26 0HQ,55.8380743,-3.22416576,Midlothian
2nd Wishaw Brownie Unit,SC039094,ML2 7JT,55.78200952,-3.9227732,North Lanarkshire
Traill Hall Community Trust,SC039095,KW14 8SX,58.59053764,-3.31692486,Highland
47th A City of Aberdeen Brownie Unit,SC039097,AB10 1UX,57.14522431,-2.11467336,Aberdeen
Stranraer Community Church,SC039102,DG9 7JS,54.9047922,-5.02966757,Fife
1st/2nd Lerwick Sea Scout Group,SC039111,ZE1 0GA,60.14952908,-1.17249542,Shetland Islands
"Church House, Bridgeton [SCIO]",SC039112,G73 4RP,55.80864939,-4.19416833,Glasgow City
1st Kemnay Guide Unit,SC039113,AB32 7ER,57.18626483,-2.4275947,Aberdeenshire
1st Burghead Brownie Unit,SC039114,IV30 5UT,57.70011089,-3.48307493,Moray
9th Alloa Brownie Unit,SC039115,FK10 3SA,56.12115138,-3.7817049,Clackmannanshire
Friends of Keith & District Multiple Sclerosis Group,SC039120,IV32 7AE,57.61229859,-3.08814614,Moray
1st Avoch Sea Scouts,SC039121,IV9 8PS,57.5666592,-4.17732197,Highland
6th Islay Brownie Unit,SC039122,PA42 7EF,55.66730013,-6.07017419,Argyll & Bute
1st Mearns Brownie Unit,SC039124,G77 5FB,55.76524981,-4.32935213,Glasgow City
1st New Deer Rainbow Unit,SC039125,AB53 6UU,57.55816782,-2.21249989,Aberdeenshire
Church of Christ Portknockie,SC039127,AB56 1HT,57.67605325,-2.9708402,Moray
Alloa Burns Club,SC039139,PA16 8JA,55.95693214,-4.78303775,Clackmannanshire
Future Hawick,SC039141,TD9 0AL,55.42002201,-2.78953543,Scottish Borders
1st Rose Hearty Rainbow Unit,SC039142,AB43 7EH,57.67713046,-2.06512954,Aberdeenshire
1st Faifley Rainbow Unit,SC039143,G81 5AR,55.9292739,-4.39957549,West Dunbartonshire
1st Nairn Guide Unit,SC039146,IV12 5AU,57.58202316,-3.85608823,Highland
4th Gourock Brownie Unit,SC039151,PA13 4TD,55.86826439,-4.64632472,Inverclyde
The Gatehouse Bunker (SCIO),SC039157,DG7 2HR,54.88282296,-4.18285092,Dumfries & Galloway
Cornton Action Planning Partnership,SC039158,FK9 5BW,56.13323182,-3.93727831,Stirling
1st Cults Brownie Unit,SC039160,AB10 1UX,57.14522431,-2.11467336,Aberdeen
1st Kemnay Scout Group,SC039162,AB51 5FT,57.23895426,-2.44454038,Aberdeenshire
Adult Learning Friends,SC039176,EH55 8AN,55.85258748,-3.56350397,West Lothian
Sherbrooke Initiative Limited,SC039178,G41 5AD,55.84405526,-4.29919391,Glasgow City
West Dunbartonshire Mental Health Forum,SC039187,G82 1BA,55.94605378,-4.56327971,West Dunbartonshire
1st Dalgety Bay Brownie Unit,SC039190,KY11 9FN,56.03677148,-3.3645819,Fife
Elgin Duellist Fencing Club,SC039192,IV30 1HA,57.64843149,-3.30431174,Moray
1st Strichen Rainbow Unit,SC039198,AB43 6TU,57.58865691,-2.09057813,Aberdeenshire
4th East Calder Brownie Unit,SC039208,EH27 8BJ,55.88810179,-3.42886312,West Lothian
Inverkip Community Enterprise,SC039210,PA16 0DF,55.90976582,-4.85844053,Inverclyde
19th A Dunfermline Unit,SC039213,KY11 8LR,56.05541176,-3.39314935,Fife
St. Stephens Toddler Group,SC039216,IV2 3NT,57.47848185,-4.21477361,Highland
27th Perth Brownie Unit,SC039218,PH1 1SP,56.39362461,-3.48793923,Perth & Kinross
5th Campbeltown Rainbow Unit,SC039219,PA28 6LP,55.41881628,-5.6166486,Argyll & Bute
Calvay Housing Association Limited,SC039234,G33 4RE,55.85951173,-4.14302406,Glasgow City
2nd Cumnock Brownie Unit,SC039235,KA18 1RX,55.45943235,-4.27747992,East Ayrshire
Lerwick Royal British Legion Pipe Band,SC039238,ZE1 0QD,60.15308003,-1.15747425,Shetland Islands
Tailor Ed Foundation,SC039246,EH6 6SB,55.97451701,-3.1689748,City of Edinburgh
Nithsdale Amateur Rowing Club Limited,SC039249,DG1 1EF,55.07119878,-3.61568419,Dumfries & Galloway
The Scone & District Historical Society,SC039253,PH2 6PN,56.42523205,-3.41364922,Perth & Kinross
Halkirk District Benefit Fund,SC039254,KW12 6YQ,58.50906202,-3.48859944,Highland
The Three Brethren University of the Third Age,SC039266,TD3 6NF,55.73366454,-2.60428437,Scottish Borders
Support Culross Abbey Regeneration Trust,SC039273,KY4 8AX,56.08530033,-3.36801709,Fife
Swiss Cottage Management Committee,SC039275,IV32 7ES,57.61113551,-3.08968471,Moray
Wallaces Weans,SC039276,ML11 9ET,55.67387747,-3.78114495,South Lanarkshire
Tweeddale Access Panel,SC039279,EH45 9BN,55.64195048,-3.18197373,Scottish Borders
4th Dalgety Bay Brownies Unit,SC039281,KY11 9LR,56.04037971,-3.34201196,Fife
Cathcart Youth Ministry Partnership,SC039290,G44 3JJ,55.81072358,-4.27194647,Glasgow City
1st Bishopton Rainbow Unit,SC039293,PA7 5QG,55.90599139,-4.51503348,Inverclyde
6th St Andrews Brownie Unit,SC039295,KY16 8EF,56.33184937,-2.79751086,Fife
1st Cowdenbeath Guide Unit,SC039298,KY12 9DL,56.07780311,-3.47442407,Fife
1st Stuartfield Brownie Unit,SC039300,AB42 5DP,57.50205437,-2.04629422,Aberdeenshire
1st Aberlady Guide Unit,SC039301,EH32 0UJ,56.00560353,-2.86163996,East Lothian
Girlguiding Kintyre,SC039305,PA28 6JP,55.41781755,-5.59809354,Argyll & Bute
4th Dalkeith Brownie Unit,SC039308,EH22 1JQ,55.89440591,-3.07495179,Midlothian
3rd Fraserburgh Brownie Unit,SC039310,AB43 9QJ,57.68161966,-2.01449597,Aberdeenshire
40th A City of Aberdeen Brownie Unit,SC039311,AB10 1UX,57.14522431,-2.11467336,Aberdeen
1st Tannochside Guide Unit,SC039312,G69 6DH,55.85378596,-4.11347038,North Lanarkshire
10th Hamilton Guide Unit,SC039314,ML3 6UH,55.76911872,-4.04812843,South Lanarkshire
2nd Parkway Rainbow Unit,SC039315,AB10 1UX,57.14522431,-2.11467336,Aberdeen
Friends of the King's Park Glasgow,SC039324,G44 5BD,55.81462972,-4.2476889,Glasgow City
Physical,SC039325,PH1 1NL,56.39237573,-3.45767751,Perth & Kinross
Strathblane Community Development Trust,SC039328,G63 9BP,55.987495,-4.31267427,Stirling
Thrift Shop Kirkcaldy,SC039329,KY5 0HB,56.14912031,-3.2496368,Fife
Braeburn Home,SC039330,EH3 5NU,55.96275865,-3.2086525,City of Edinburgh
1st Macduff Brownie Unit,SC039340,AB44 1TN,57.67075905,-2.49571426,Aberdeenshire
2nd Macduff Rainbow Unit,SC039341,AB44 1TN,57.67075905,-2.49571426,Aberdeenshire
1st Macduff Rainbow Unit,SC039348,AB54 7TD,57.56124453,-2.62524351,Aberdeenshire
4th Bishopton Brownie Unit,SC039350,PA7 5DX,55.90575592,-4.49746599,Renfrewshire
9th A Motherwell Brownie Unit,SC039351,ML2 0AF,55.76993184,-3.95293092,North Lanarkshire
1st Aberchirder Rainbow Unit,SC039355,AB54 7SL,57.56579665,-2.61836776,Aberdeenshire
Longforgan Rainbow Unit,SC039356,DD2 5HQ,56.43683803,-3.13583731,Perth & Kinross
1st Fochabers Scout Group,SC039357,IV32 7JQ,57.62496561,-3.12194595,Moray
Highlands & Islands Regional Scout Council,SC039358,KW15 1UZ,58.97566307,-2.94536292,Highland
Hjaltland Explorer Scout Unit,SC039360,ZE1 0GA,60.14952908,-1.17249542,Shetland Islands
5th Dundee (Downfield) Scout Group,SC039361,DD3 9BS,56.49076591,-2.99534064,Dundee City
Renfrewshire District Scout Council,SC039362,PA4 8PY,55.8760816,-4.38028824,Renfrewshire
North East Fife District Scout Council,SC039363,KY10 3GZ,56.23493593,-2.68931484,Fife
Ayr Community Rugby Trust,SC039365,KA7 4QQ,55.43129112,-4.63165039,South Ayrshire
1st Lossiemouth Brownies,SC039371,IV31 6QT,57.71804273,-3.30167841,Moray
The 22nd Paisley Company The Boys Brigade Ex-Members Association,SC039372,KA26 9LR,55.30786841,-4.82565843,Renfrewshire
Nevis Highland Dancing Association,SC039373,DD5 4DQ,56.48585695,-2.82007957,Highland
1st Carnoustie Brownie Unit,SC039379,DD7 7RH,56.5067452,-2.74303123,Angus
1st Selkirk Rainbow Unit,SC039380,TD7 5DE,55.54916595,-2.84333444,Scottish Borders
1st Kennoway Rainbow Unit,SC039381,KY8 4SG,56.20080255,-2.99761546,Fife
1st Maud Guide Unit,SC039384,AB42 4NJ,57.52210502,-2.13240177,Aberdeenshire
6th Motherwell Brownie Unit,SC039385,ML1 3EX,55.78940925,-4.00411738,North Lanarkshire
1st Tobermory Rainbow Unit,SC039386,PA75 6PY,56.61929402,-6.08184911,Argyll & Bute
Wick Unit (No 364) of the Sea Cadets Corps,SC039388,KW1 5UG,58.46843398,-3.27251224,Highland
1st Arbroath Guides,SC039392,DD11 4XG,56.60719371,-2.60617797,Angus
41st City of Edinburgh Guide Unit,SC039393,EH7 4NA,55.96301462,-3.18320559,City of Edinburgh
5th Campbeltown Guide Unit,SC039395,PA28 6JP,55.41781755,-5.59809354,Argyll & Bute
Northmavine Community Development Company,SC039396,ZE2 9RT,60.50413033,-1.34409949,Shetland Islands
1st Tobermory Brownies,SC039398,PA75 6PY,56.61929402,-6.08184911,Argyll & Bute
Girlguiding New Leith Division (County of Edinburgh),SC039400,EH7 4NA,55.96301462,-3.18320559,City of Edinburgh
Stepwell Consultancy Ltd,SC039402,PA15 1JG,55.95215181,-4.76060206,Inverclyde
1st Macduff Guide Unit,SC039403,AB44 1SL,57.67158501,-2.49121591,Aberdeenshire
Helensburgh & Lomond Games,SC039407,G84 7EN,56.0051867,-4.724969,Argyll & Bute
Huntly Christmas Lights Appeal,SC039412,AB54 8NZ,57.44856318,-2.77736354,Aberdeenshire
Fauldhouse Miners Charitable Society,SC039415,EH47 9LD,55.83410794,-3.70124835,West Lothian
Tinto After School Care Club Association (Glasgow),SC039420,G43 2XG,55.81721436,-4.29170378,Glasgow City
Bishopton Primary Parent Council,SC039422,PA7 5BE,55.9102987,-4.50567919,Renfrewshire
Healthy Active Promotion Of Positive Youngsters,SC039423,G34 9QN,55.87206359,-4.12507738,Glasgow City
Daisy Drop In,SC039424,EH54 5EH,55.89690347,-3.49728416,West Lothian
1st Methlick Rainbows,SC039430,AB41 7EF,57.42217684,-2.23512038,Aberdeenshire
3rd Whitecraigs Guide Unit,SC039432,G77 5HN,55.7785302,-4.3071489,East Renfrewshire
Ladybank Development Trust,SC039436,KY15 7NX,56.27912953,-3.1336278,Fife
Mid Calder Colts Community Football Association,SC039437,EH54 6FT,55.88918098,-3.49831385,West Lothian
Rainbow Vaulting Group,SC039442,EH47 8BP,55.84752939,-3.63259133,West Lothian
St. Monans Community Trust,SC039444,KY10 2NL,56.21209917,-2.72966205,Fife
Newlands Community Development Trust,SC039447,EH46 7BZ,55.71862775,-3.33776789,Scottish Borders
2nd Kirriemuir Rainbow Unit,SC039448,DD8 2BJ,56.64273406,-2.87748655,Angus
St Joseph's Parent Council,SC039454,EH47 8FD,55.84347976,-3.68039968,West Lothian
Maddiston Community Education Association Management Committee,SC039456,FK2 0LU,55.97002985,-3.69833323,Falkirk
The Big Space - Melrose Ltd,SC039457,TD6 9SB,55.59851323,-2.72721003,Scottish Borders
Fife Sports And Leisure Trust Limited,SC039464,KY12 7JA,56.07190145,-3.45381187,Fife
East Neuk Lighthouse,SC039466,KY10 3AN,56.22574767,-2.68392434,Fife
East Renfrewshire Group of the RoSPA Advanced Drivers and Riders Association,SC039483,G74 4EN,55.76898844,-4.17290324,South Lanarkshire
Troon Senior Citizens' Welfare Committee,SC039495,KA10 6ET,55.53486346,-4.65067675,South Ayrshire
2nd Ellon Guides,SC039497,AB42 0NT,57.43813249,-1.82687045,Aberdeenshire
3rd Netherlee & Stamperland Rainbow Unit,SC039498,G44 3TH,55.80279127,-4.27563305,East Renfrewshire
9th Ayr Brownie Unit,SC039499,KA7 2SL,55.45286506,-4.63036703,South Ayrshire
Newmill Hall Committee,SC039503,AB55 6RS,57.54607772,-2.98961754,Moray
1st New Deer Guide Unit,SC039504,AB53 6XN,57.50115689,-2.21724061,Aberdeenshire
4th Buckie Rainbow Unit,SC039509,AB56 4DJ,57.68993301,-2.92754984,Moray
Borders Direct Payment Agency,SC039514,TD1 3AF,55.61565487,-2.80529172,Scottish Borders
Gairloch Community Car Scheme,SC039516,IV22 2JU,57.76519986,-5.60596554,Highland
1st Symington Guides Senior Section Unit,SC039517,ML11 8SP,55.66621997,-3.65075667,South Lanarkshire
37th Fife (1st Tayport) Scout Group,SC039519,DD6 9NA,56.44287849,-2.87365296,Fife
The Lossiemouth Heritage Association,SC039520,IV31 6TD,57.71562301,-3.3028673,Moray
Friends of Duchess Wood,SC039527,G84 8QZ,56.03145825,-4.79371583,Argyll & Bute
The Family History Society of Buchan,SC039533,AB42 1JL,57.50499838,-1.77532319,Aberdeenshire
Lochalsh Pipe Band,SC039538,IV40 8ET,57.28997218,-5.49522538,Highland
