Charity Name,Charity Number,Postcode,Latitude,Longitude,Main Operating Location
Stobswell Parish Church Of Scotland: Dundee,SC000384,DD5 3PA,56.50492496,-2.85945052,Dundee City
Augustine United Church,SC000385,EH1 1EL,55.94752717,-3.19123605,City of Edinburgh
Stenton Community Association,SC000388,EH42 1TE,55.95960474,-2.60768939,East Lothian
Mairi Semple Fund,SC000390,PA29 6UT,55.56835671,-5.69652112,Argyll & Bute
Callander Kirk Church of Scotland,SC000396,FK17 8BN,56.24253717,-4.21389352,Stirling
Volunteer Tutors Organisation Ltd,SC000403,G20 6BG,55.87962291,-4.27966441,Glasgow City
Dean Village Association,SC000404,EH4 3BU,55.95223432,-3.22073614,City of Edinburgh
2nd West Lothian Scout Group,SC000407,EH49 6AA,55.97641759,-3.58721553,West Lothian
Falkirk Caledonia Choir,SC000411,FK2 7LT,56.00898122,-3.78696276,Falkirk
Udny Station Community Assoc,SC000412,AB41 6QJ,57.31024312,-2.15389758,Aberdeenshire
Portree Church of Scotland,SC000416,IV51 9NH,57.33251903,-6.1099803,Highland
Southend Community Hall Committee,SC000421,HS8 5SY,57.18712573,-7.39635334,Western Isles
Enable Livingston & District Branch,SC000422,EH54 6AB,55.89909631,-3.53231525,Glasgow City
John Hunter Trust,SC000428,AB12 5GJ,57.08142875,-2.26233924,Aberdeenshire
East Neuk Baptist Fellowship,SC000433,KY10 2QL,56.21486311,-2.73174613,Fife
Ardersier War Memorial Hall Association,SC000437,IV2 7RS,57.56591926,-4.03811435,Highland
Laidhay Preservation Trust,SC000441,KW3 6DA,58.31729584,-3.29874289,Highland
Larbert Old Church of Scotland,SC000445,FK5 3ER,56.01710313,-3.82754296,Falkirk
Dunlop Church Of Scotland,SC000447,KA3 4DT,55.72899106,-4.51707799,East Ayrshire
Montrose Congregational Church,SC000453,DD10 9SZ,56.69850505,-2.47150687,Angus
Dunbar Parish Church (Church of Scotland),SC000455,EH19 2PF,55.87083594,-3.12435373,East Lothian
Springfield Community Education Association,SC000462,EH49 7SN,55.9803279,-3.58221486,West Lothian
St Annes Episcopal Church: Kemnay,SC000474,AB51 5LY,57.24649717,-2.45782168,Aberdeenshire
Kirk Session Of The Parish Of Cabrach for MacMillan Ferguson Bequest,SC000480,AB55 4FH,57.44581652,-3.12166918,Moray
Lodge Merchantile Marine No 453 Benevolent Fund,SC000482,KW16 3DP,58.95487888,-3.30146277,City of Edinburgh
Dundee Volunteer and Voluntary Action,SC000487,DD1 1LL,56.46231216,-2.97494317,Dundee City
James Paton Charitable Trust,SC000496,IV2 4AY,57.47000014,-4.21781242,Highland
Gullane Community Association,SC000497,EH31 2BL,56.03453507,-2.83023598,East Lothian
Grange Parish Trust,SC000502,AB42 1TP,57.50657064,-1.78062047,Aberdeenshire
Skerries Community Hall,SC000509,ZE2 9AS,60.42300764,-0.76351421,Shetland Islands
Culrain & District Hall Committee,SC000517,IV24 3EL,57.89397663,-4.34553567,Highland
"Portsoy Church, Church Of Scotland",SC000522,AB45 2QE,57.6752465,-2.6949916,Aberdeenshire
Argyll Guides Association,SC000523,PA23 8JY,55.97085945,-4.91385544,Argyll & Bute
St Mary's Episcopal Church: Gatehouse Of Fleet,SC000527,DG7 2EB,54.88116982,-4.17780389,Dumfries & Galloway
"Carmyle Church of Scotland, Glasgow",SC000532,G32 9NT,55.84262218,-4.14626322,Glasgow City
Strathbogie Drumblade Church of Scotland Huntly,SC000534,AB54 8AS,57.44224648,-2.78632574,Aberdeenshire
Alyth Parish Church Of Scotland,SC000540,PH11 8HB,56.62092179,-3.22227585,Perth & Kinross
True Jesus Church In Elgin,SC000544,IV30 4HP,57.65904369,-3.30663685,Moray
Croileagan Obar Dheathain,SC000549,AB21 7FL,57.20030218,-2.18670468,Aberdeen
Dornoch Pipe Band,SC000557,IV25 3SZ,57.88031145,-4.03573611,Highland
Paisley: South (Church of Scotland),SC000558,PA6 7BZ,55.8597352,-4.54926296,Renfrewshire
Dun and Hillside Church Of Scotland,SC000572,DD10 9TJ,56.69675756,-2.50918787,Angus
Scalloway Public Hall Trust,SC000577,ZE1 0TX,60.13890501,-1.27655606,Shetland Islands
Port Glasgow United Reformed Church,SC000582,PA14 5YH,55.92263429,-4.66594274,Inverclyde
Dyke and Edinkillie Parish Church of Scotland,SC000585,IV36 2QN,57.53398983,-3.66091171,Moray
Abernethy and Dron and Arngarsk Church of Scotland,SC000586,PH2 9PF,56.27732264,-3.40212961,Perth & Kinross
Westwood Baptist Church,SC000588,G75 8EY,55.75616167,-4.20176969,South Lanarkshire
Dunfermline South Congregation Of Jehovahs Witnesses,SC000596,KY11 4JJ,56.07437626,-3.42186907,Fife
Canongate Youth (SCIO),SC000600,EH1 1LT,55.94812563,-3.18601808,City of Edinburgh
Blackmount Parish Church (Church Of Scotland),SC000603,ML12 6QZ,55.676636,-3.49062185,South Lanarkshire
League Of Friends Of Eyemouth Health Centre,SC000607,TD14 5DH,55.87103464,-2.08969092,Scottish Borders
St Johns Episcopal Church: Aberdeen,SC000608,AB15 8TQ,57.15613355,-2.22955979,Aberdeen
East Kilbride Old Parish Church Of Scotland,SC000609,G74 4JS,55.76533946,-4.1764623,South Lanarkshire
New Templar Halls Trust,SC000615,PA1 1YH,55.84290257,-4.42426405,Renfrewshire
Holy Cross Episcopal Church,SC000619,PA34 5JJ,56.42085253,-5.46786896,Argyll & Bute
Citizens Advice Bureau West Lothian,SC000630,EH54 5EH,55.89690347,-3.49728416,West Lothian
Falkirk Trinity Church of Scotland,SC000652,FK1 1JN,56.00005154,-3.78491479,Falkirk
John McLintock Hall Trust,SC000654,G63 0RH,56.06519944,-4.33986675,Stirling
Symbister Public Hall,SC000658,ZE2 9AA,60.34001854,-1.02248523,Shetland Islands
Girlguiding West Lothian,SC000667,EH54 9AU,55.86799857,-3.50146126,City of Edinburgh
Lennoxlove Trust,SC000671,EH41 4NZ,55.9391128,-2.77810129,East Lothian
Knox United Free Church Of Scotland,SC000674,DD10 9RG,56.70045715,-2.47081276,Angus
Mrs Catherine Brook's Fund,SC000675,AB15 9SX,57.11722274,-2.1774845,Aberdeenshire
Ardchattan (Church of Scotland),SC000680,PA37 1RW,56.4593489,-5.39545254,Argyll & Bute
Richmond House Crieff,SC000685,PH7 4AF,56.37799425,-3.8409523,Perth & Kinross
Strathpeffer Community Development Trust Limited,SC000688,IV14 9AG,57.58595778,-4.54370826,Highland
Astley Hall Trust,SC000696,PH39 4NP,56.91041388,-5.84136053,Highland
Networking Key Services Limited,SC000697,EH3 9NH,55.94108199,-3.20719264,City of Edinburgh
Merkinch Community Centre Association,SC000706,IV3 8AD,57.48799132,-4.23902592,Highland
Cramond School Parent Teacher Association,SC000709,EH4 6PW,55.97330953,-3.30196784,City of Edinburgh
"St Laurence Parish Church of Scotland, Forres",SC000711,IV36 1DG,57.60626075,-3.60996303,Moray
"Hoddom, Kirtle-Eaglesfield and Middlebie Church of Scotland",SC000722,DG11 3NT,55.06176364,-3.18975347,Dumfries & Galloway
St David's High Kirk Dundee (Church of Scotland),SC000723,DD5 4RR,56.4822252,-2.82985697,Dundee City
Ayr County Ayrshire Cattle Club,SC000730,KA18 1FJ,55.46199178,-4.27759587,East Ayrshire
Monifieth Further Education Association,SC000736,DD8 2BG,56.64249568,-2.88450878,Angus
Lesmahagow And District Resource Centre,SC000741,ML11 0EQ,55.63881613,-3.88659428,South Lanarkshire
Grandtully And Strathtay Hall And Park Association,SC000743,PH9 0PJ,56.65826546,-3.78250052,Perth & Kinross
St Lukes Episcopal Church: Glenrothes,SC000749,KY7 4HP,56.19472374,-3.17413357,Fife
Helensfield Trust,SC000751,G2 1DY,55.86059811,-4.25077528,Stirling
"Martins Memorial Church of Scotland, Stornoway",SC000753,HS1 2NB,58.20884721,-6.38595465,Western Isles
"Ambassador Church, Port Glasgow",SC000755,PA13 4SF,55.90178345,-4.64208038,Inverclyde
Culter Community Playgroup,SC000761,AB14 0UD,57.09633073,-2.26708214,Aberdeen
Halkirk Youth Club,SC000762,KW12 6XU,58.5138683,-3.49086301,Highland
Playtime Early Years,SC000767,KA24 4BA,55.70563365,-4.72848903,North Ayrshire
St Baldreds Church: North Berwick,SC000772,EH39 4AX,56.05796543,-2.73122786,East Lothian
Grangemouth Abbotsgrange Church Of Scotland,SC000775,FK3 9JN,56.01507779,-3.7138981,Falkirk
Bingham & District 50+ Project,SC000782,EH15 3HZ,55.93933071,-3.12352002,City of Edinburgh
Home-Start Lorn,SC000783,PA34 4HP,56.41049694,-5.4710288,Argyll & Bute
Mayfield Salisbury Parish (Edinburgh) Church of Scotland,SC000785,EH9 1TQ,55.9335502,-3.17675263,City of Edinburgh
Fearn Amenities ,SC000786,IV20 1TR,57.79186512,-3.9279223,Highland
Harris Voluntary Service,SC000788,HS3 3BG,57.90172111,-6.81387236,Western Isles
Armadale Parish Church Of Scotland,SC000791,EH48 3TU,55.89904091,-3.7150143,West Lothian
Thornton Under 5's,SC000798,KY7 4UP,56.17422114,-3.16638816,Fife
Drymen Village Hall Improvements Comm,SC000799,G63 0BX,56.06664478,-4.45555198,Stirling
Breich Valley Parish Church Of Scotland,SC000800,EH47 8JD,55.85891527,-3.68061874,West Lothian
"Kincardine in Menteith Church of Scotland, Blair Drummond",SC000802,FK9 4UZ,56.16070488,-4.08778528,Stirling
Kilbarchan Civic Society,SC000804,PA10 2PR,55.8406314,-4.55853851,Renfrewshire
Newstead Village Hall Committee,SC000808,TD6 9DA,55.60027885,-2.69229594,Scottish Borders
Cupar & North Fife Preservation Society,SC000813,KY14 7AH,56.29087101,-3.22892596,Fife
Finlaggan Trust,SC000821,PA45 7QT,55.83964611,-6.16417305,Argyll & Bute
1st Lochwinnoch Boys Brigade Company,SC000822,PA12 4EH,55.80173014,-4.62208253,Renfrewshire
Lewis Grassic Gibbon Centre,SC000826,AB30 1NA,56.86302542,-2.32062082,Aberdeenshire
Buchlyvie Church Of Scotland,SC000833,FK8 3NH,56.11388743,-4.29322992,Stirling
Campsie Parish Church of Scotland,SC000835,G66 7EP,55.97295552,-4.18958537,East Dunbartonshire
The Cabin,SC000839,AB55 5QB,57.506074,-2.98761625,Moray
Family And Community Development West Lothian,SC000843,EH52 6EY,55.93536712,-3.4947497,West Lothian
St Brides Parish Church Of Scotland: Sanquhar,SC000845,DG4 6DT,55.36710236,-3.92153236,Dumfries & Galloway
"St Andrew's Wallace Green and Lowick Church of Scotland, Berwick-upon-Tweed",SC000867,TD11 3EJ,55.77363966,-2.34016162,Outwith Scotland
Abbeyfield Strathspey Society Ltd,SC000872,PH21 1JU,57.08195714,-4.05110661,Highland
Cumbernauld Old Parish Church Of Scotland,SC000877,G68 0EJ,55.95665051,-4.02475231,North Lanarkshire
Tiree Parish Church Of Scotland,SC000878,PA77 6UA,56.46611888,-6.89687185,Argyll & Bute
Lochaber Sensory Care,SC000879,PH33 7DR,56.83759464,-5.105666,Highland
St James Church Of Scotland: Lossiemouth,SC000880,IV31 6BY,57.72153667,-3.28855732,Moray
Trustees For Denholm Public Hall,SC000882,TD9 8NX,55.45767302,-2.68827678,Scottish Borders
"Balshagray Victoria Park Parish Church of Scotland, Glasgow",SC000885,G61 2LX,55.91243065,-4.31797882,Glasgow City
Bonhill Church Of Scotland,SC000886,G83 8HT,56.00574473,-4.57185308,West Dunbartonshire
Natural History & Antiquarian Society of Mid Argyll,SC000894,PA31 8RE,56.07100823,-5.46279384,Argyll & Bute
Dalkeith Congregation Of Jehovahs Witnesses,SC000901,EH23 4LS,55.83183287,-3.09209555,Midlothian
Luncarty Under 5's,SC000904,PH1 3FY,56.45228493,-3.46412527,Perth & Kinross
The Glasgow Care Foundation ,SC000906,G51 2BX,55.86127211,-4.30848946,Glasgow City
St Philips & St James Episcopal Church: Edinburgh,SC000910,EH3 5PX,55.97044959,-3.20871609,City of Edinburgh
Avoch Congregational Church,SC000911,IV11 8XT,57.67043809,-4.04595603,Highland
Corstorphine Trust,SC000913,EH12 7SX,55.93983158,-3.28289694,City of Edinburgh
Uddingston:  Park United Free Church of Scotland,SC000928,G71 7EW,55.82057335,-4.08322171,South Lanarkshire
Bridgeton Citizens Advice Bureau,SC000930,G40 1HA,55.84812722,-4.22687387,Glasgow City
Insch-Leslie-Premnay-Oyne Church of Scotland,SC000935,AB52 6HX,57.34299492,-2.61320452,Aberdeenshire
Kirkcudbright Community Centre,SC000940,DG6 4JU,54.83587135,-4.05810362,Dumfries & Galloway
Kinord Hall Management Committee,SC000944,AB34 5LQ,57.08759247,-2.9094532,Aberdeenshire
Keith Grammar School Fund,SC000946,AB55 5GS,57.5450169,-2.94518163,Moray
Nairn Old Parish Church Of Scotland,SC000947,IV12 5QA,57.57190342,-3.87334846,Highland
Wairds Park Committee,SC000950,DD10 0EP,56.79564513,-2.32900032,Aberdeenshire
Isle Of Skye Pipe Band,SC000953,IV51 9ES,57.41071332,-6.20126579,Highland
Kelso Country Churches (Church of Scotland),SC000958,TD5 7BL,55.59659225,-2.42723762,Scottish Borders
Fraserburgh Heritage Society Ltd,SC000959,AB43 9AU,57.69183323,-2.00470442,Aberdeenshire
Gatehouse and Borgue Parish Church of Scotland,SC000961,DG7 2EN,54.86911671,-4.21454316,Dumfries & Galloway
Edinburgh: Willowbrae Parish Church of Scotland,SC000963,EH7 6TB,55.95771088,-3.13473595,City of Edinburgh
"Holy Trinity Church, Melrose",SC000966,TD6 0AE,55.56998001,-2.64786717,Scottish Borders
Dunblane Christian Fellowship,SC000967,FK15 9EX,56.18546266,-3.96504821,Stirling
Inverkeithing Parish Church Of Scotland,SC000968,KY11 9FF,56.03162167,-3.36873318,Fife
Glasgow Southern Medical Society,SC000971,G73 3PF,55.82091331,-4.20242582,Glasgow City
Thomas Davidson's Trust,SC000976,KA26 9AE,55.24254183,-4.85572887,South Ayrshire
